Running LDA inference using FTreeLDA
For dataset enron
For number of iterations 10
For number of topics 100
Using 1 sampler threads and 1 updater threads on bros
Running LDA inference using FTreeLDA
Now randomly initialising model variables for training
We will perform a test on a heldout set.
data dir = data/
Training file = enron-0.dat
Testing file = enron-test.dat
model dir = out/enron/FTreeLDA/Jan_28_2016_19.26.00/
n_iters = 10
alpha = 0.5
beta = 0.1
K = 100
V = 27996
Initialising data structures
Initializing the Fenwich trees ...
Likelihood on held out documents: -8.4498 at time 0
Sampling 10 iterations!
Likelihood on held out documents: -8.44337 at time 3261
Likelihood on held out documents: -8.43923 at time 11053
Likelihood on held out documents: -8.42441 at time 13980
Likelihood on held out documents: -8.41675 at time 25594
Likelihood on held out documents: -8.41806 at time 28490
Likelihood on held out documents: -8.42028 at time 31385
Likelihood on held out documents: -8.41919 at time 34279
Likelihood on held out documents: -8.42075 at time 37174
Likelihood on held out documents: -8.41591 at time 40068
Likelihood on held out documents: -8.42254 at time 42968
Likelihood on held out documents: -8.41819 at time 47595
Likelihood on held out documents: -8.41685 at time 50552
Likelihood on held out documents: -8.41441 at time 81422
Likelihood on held out documents: -8.41077 at time 84319
Likelihood on held out documents: -8.41335 at time 87242
Likelihood on held out documents: -8.41426 at time 91417
Likelihood on held out documents: -8.415 at time 94312
Likelihood on held out documents: -8.41257 at time 97232
Likelihood on held out documents: -8.41666 at time 102436
Likelihood on held out documents: -8.41291 at time 105354
Likelihood on held out documents: -8.41532 at time 108252
Likelihood on held out documents: -8.41713 at time 114380
Likelihood on held out documents: -8.41846 at time 117273
Likelihood on held out documents: -8.4197 at time 120168
Likelihood on held out documents: -8.41759 at time 123065
Likelihood on held out documents: -8.41579 at time 125956
Likelihood on held out documents: -8.41844 at time 128849
Likelihood on held out documents: -8.41574 at time 152753
Likelihood on held out documents: -8.41672 at time 155649
Likelihood on held out documents: -8.41652 at time 158543
Likelihood on held out documents: -8.41414 at time 161439
Likelihood on held out documents: -8.41426 at time 164361
Likelihood on held out documents: -8.41681 at time 181651
Likelihood on held out documents: -8.41372 at time 185293
Likelihood on held out documents: -8.41494 at time 191443
Likelihood on held out documents: -8.41386 at time 197735
Likelihood on held out documents: -8.41741 at time 201221
Likelihood on held out documents: -8.4166 at time 206062
Likelihood on held out documents: -8.41585 at time 208956
Likelihood on held out documents: -8.41319 at time 211849
Likelihood on held out documents: -8.41763 at time 214742
Likelihood on held out documents: -8.418 at time 221696
Likelihood on held out documents: -8.41858 at time 225654
Likelihood on held out documents: -8.41619 at time 235889
Likelihood on held out documents: -8.41521 at time 238785
Likelihood on held out documents: -8.41667 at time 241678
Likelihood on held out documents: -8.41623 at time 246972
Likelihood on held out documents: -8.41862 at time 252412
Likelihood on held out documents: -8.41488 at time 261499
Likelihood on held out documents: -8.41345 at time 266506
Likelihood on held out documents: -8.41309 at time 272980
Likelihood on held out documents: -8.41651 at time 276335
Likelihood on held out documents: -8.41898 at time 283437
Likelihood on held out documents: -8.4162 at time 286738
Likelihood on held out documents: -8.41264 at time 289636
Likelihood on held out documents: -8.41768 at time 292528
Likelihood on held out documents: -8.42044 at time 295418
Likelihood on held out documents: -8.41815 at time 298345
Likelihood on held out documents: -8.41745 at time 301283
Likelihood on held out documents: -8.41579 at time 306548
Likelihood on held out documents: -8.41341 at time 310739
Likelihood on held out documents: -8.41679 at time 314982
Likelihood on held out documents: -8.4181 at time 323093
Likelihood on held out documents: -8.41608 at time 344018
Likelihood on held out documents: -8.41527 at time 352622
Likelihood on held out documents: -8.4172 at time 356645
Likelihood on held out documents: -8.41521 at time 365851
Likelihood on held out documents: -8.41757 at time 372147
Likelihood on held out documents: -8.4159 at time 378097
Likelihood on held out documents: -8.41472 at time 383953
Likelihood on held out documents: -8.4181 at time 388900
Likelihood on held out documents: -8.41983 at time 394779
Likelihood on held out documents: -8.41515 at time 401549
Likelihood on held out documents: -8.41813 at time 407909
Likelihood on held out documents: -8.42047 at time 414346
Likelihood on held out documents: -8.4176 at time 418902
Likelihood on held out documents: -8.42066 at time 422306
Likelihood on held out documents: -8.4146 at time 428095
Likelihood on held out documents: -8.41282 at time 431892
Likelihood on held out documents: -8.41637 at time 436696
Likelihood on held out documents: -8.41637 at time 442708
Likelihood on held out documents: -8.41943 at time 445874
Likelihood on held out documents: -8.41624 at time 451417
Likelihood on held out documents: -8.41617 at time 456697
Likelihood on held out documents: -8.41643 at time 461188
Likelihood on held out documents: -8.41413 at time 466154
Likelihood on held out documents: -8.41572 at time 469458
Likelihood on held out documents: -8.4191 at time 472783
Likelihood on held out documents: -8.4149 at time 478345
Likelihood on held out documents: -8.41797 at time 481374
Likelihood on held out documents: -8.41637 at time 486170
Likelihood on held out documents: -8.4158 at time 492436
Likelihood on held out documents: -8.41475 at time 502383
Likelihood on held out documents: -8.4187 at time 507554
Likelihood on held out documents: -8.41783 at time 512974
Likelihood on held out documents: -8.41964 at time 527940
Likelihood on held out documents: -8.41101 at time 538134
Likelihood on held out documents: -8.41465 at time 547057
Likelihood on held out documents: -8.41286 at time 553688
Likelihood on held out documents: -8.41668 at time 556575
Likelihood on held out documents: -8.4149 at time 559638
Likelihood on held out documents: -8.41535 at time 562929
Likelihood on held out documents: -8.41754 at time 565819
Likelihood on held out documents: -8.41315 at time 574674
Likelihood on held out documents: -8.41666 at time 577594
Likelihood on held out documents: -8.41589 at time 581957
Likelihood on held out documents: -8.41638 at time 586672
Likelihood on held out documents: -8.4167 at time 595452
Likelihood on held out documents: -8.41571 at time 602424
Likelihood on held out documents: -8.41451 at time 609799
Likelihood on held out documents: -8.41713 at time 614791
Likelihood on held out documents: -8.41805 at time 618644
Likelihood on held out documents: -8.42013 at time 622486
Likelihood on held out documents: -8.41935 at time 626800
Likelihood on held out documents: -8.41357 at time 631292
Likelihood on held out documents: -8.41791 at time 637521
Likelihood on held out documents: -8.41511 at time 644493
Likelihood on held out documents: -8.41578 at time 651065
Likelihood on held out documents: -8.41717 at time 655875
Likelihood on held out documents: -8.4147 at time 661118
Likelihood on held out documents: -8.4145 at time 667882
Likelihood on held out documents: -8.41481 at time 672172
Likelihood on held out documents: -8.42039 at time 678033
Likelihood on held out documents: -8.41768 at time 684080
Likelihood on held out documents: -8.41726 at time 690886
Likelihood on held out documents: -8.41347 at time 696012
Likelihood on held out documents: -8.41644 at time 699000
Likelihood on held out documents: -8.41149 at time 701919
Likelihood on held out documents: -8.41704 at time 704852
Likelihood on held out documents: -8.41299 at time 707789
Likelihood on held out documents: -8.41672 at time 712049
Likelihood on held out documents: -8.42092 at time 745095
Likelihood on held out documents: -8.41831 at time 750391
Likelihood on held out documents: -8.41621 at time 753285
Likelihood on held out documents: -8.41708 at time 756173
Likelihood on held out documents: -8.4172 at time 759094
Likelihood on held out documents: -8.41502 at time 762014
Likelihood on held out documents: -8.4134 at time 764912
Likelihood on held out documents: -8.41413 at time 767803
Likelihood on held out documents: -8.41715 at time 770692
Likelihood on held out documents: -8.41344 at time 773581
Likelihood on held out documents: -8.41366 at time 776479
Likelihood on held out documents: -8.41371 at time 779370
Likelihood on held out documents: -8.41643 at time 782268
Likelihood on held out documents: -8.41565 at time 785160
Likelihood on held out documents: -8.40979 at time 792856
Likelihood on held out documents: -8.41463 at time 795895
Likelihood on held out documents: -8.41666 at time 798790
Likelihood on held out documents: -8.41439 at time 805223
Likelihood on held out documents: -8.41676 at time 811929
Likelihood on held out documents: -8.4155 at time 816387
Likelihood on held out documents: -8.41341 at time 819550
Likelihood on held out documents: -8.41391 at time 825145
Likelihood on held out documents: -8.41918 at time 828035
Likelihood on held out documents: -8.41107 at time 830927
Likelihood on held out documents: -8.41284 at time 833841
Likelihood on held out documents: -8.41783 at time 836733
Likelihood on held out documents: -8.41664 at time 839622
Likelihood on held out documents: -8.41556 at time 842514
Likelihood on held out documents: -8.41439 at time 845403
Likelihood on held out documents: -8.41768 at time 848294
Likelihood on held out documents: -8.41602 at time 851183
Likelihood on held out documents: -8.41898 at time 854075
Likelihood on held out documents: -8.41385 at time 876715
Likelihood on held out documents: -8.41193 at time 879657
Likelihood on held out documents: -8.4177 at time 883091
Likelihood on held out documents: -8.41493 at time 888916
Likelihood on held out documents: -8.4149 at time 891844
Likelihood on held out documents: -8.4111 at time 894737
Likelihood on held out documents: -8.41582 at time 898263
Likelihood on held out documents: -8.41484 at time 902374
Likelihood on held out documents: -8.41506 at time 906942
Likelihood on held out documents: -8.41415 at time 912648
Likelihood on held out documents: -8.41361 at time 923070
Likelihood on held out documents: -8.41621 at time 941201
Likelihood on held out documents: -8.41501 at time 950170
Likelihood on held out documents: -8.41398 at time 957690
Likelihood on held out documents: -8.4159 at time 962702
Likelihood on held out documents: -8.41567 at time 966215
Likelihood on held out documents: -8.41855 at time 987245
Likelihood on held out documents: -8.41825 at time 992659
Likelihood on held out documents: -8.41505 at time 995556
Likelihood on held out documents: -8.41733 at time 998453
Likelihood on held out documents: -8.41861 at time 1.00219e+06
Likelihood on held out documents: -8.41654 at time 1.00509e+06
Likelihood on held out documents: -8.41769 at time 1.00798e+06
Likelihood on held out documents: -8.41159 at time 1.01203e+06
Likelihood on held out documents: -8.41483 at time 1.01606e+06
Likelihood on held out documents: -8.41631 at time 1.02139e+06
Likelihood on held out documents: -8.41595 at time 1.02428e+06
Likelihood on held out documents: -8.41513 at time 1.02717e+06
Likelihood on held out documents: -8.4115 at time 1.03006e+06
Likelihood on held out documents: -8.40833 at time 1.03295e+06
Likelihood on held out documents: -8.41801 at time 1.03584e+06
Likelihood on held out documents: -8.41238 at time 1.03873e+06
Likelihood on held out documents: -8.41685 at time 1.04162e+06
Likelihood on held out documents: -8.41231 at time 1.04451e+06
Likelihood on held out documents: -8.41255 at time 1.0474e+06
Likelihood on held out documents: -8.41308 at time 1.05029e+06
Likelihood on held out documents: -8.41332 at time 1.05899e+06
Likelihood on held out documents: -8.41618 at time 1.06906e+06
Likelihood on held out documents: -8.41386 at time 1.07219e+06
Likelihood on held out documents: -8.41581 at time 1.07509e+06
Likelihood on held out documents: -8.41923 at time 1.07798e+06
Likelihood on held out documents: -8.41286 at time 1.08088e+06
Likelihood on held out documents: -8.41583 at time 1.08378e+06
Likelihood on held out documents: -8.41333 at time 1.08668e+06
Likelihood on held out documents: -8.4167 at time 1.08957e+06
Likelihood on held out documents: -8.41606 at time 1.09452e+06
Likelihood on held out documents: -8.41564 at time 1.09936e+06
Likelihood on held out documents: -8.41487 at time 1.11252e+06
Likelihood on held out documents: -8.41527 at time 1.1186e+06
Likelihood on held out documents: -8.41463 at time 1.12199e+06
Likelihood on held out documents: -8.41528 at time 1.12728e+06
Likelihood on held out documents: -8.4156 at time 1.13018e+06
Likelihood on held out documents: -8.41377 at time 1.13308e+06
Likelihood on held out documents: -8.41695 at time 1.1379e+06
Likelihood on held out documents: -8.4128 at time 1.14086e+06
Likelihood on held out documents: -8.41103 at time 1.1438e+06
Likelihood on held out documents: -8.41413 at time 1.14669e+06
Likelihood on held out documents: -8.41173 at time 1.18298e+06
Likelihood on held out documents: -8.41285 at time 1.18823e+06
Likelihood on held out documents: -8.41341 at time 1.20824e+06
Likelihood on held out documents: -8.4134 at time 1.21114e+06
Likelihood on held out documents: -8.41156 at time 1.21455e+06
Likelihood on held out documents: -8.41055 at time 1.21744e+06
Likelihood on held out documents: -8.41461 at time 1.22033e+06
Likelihood on held out documents: -8.41281 at time 1.22322e+06
Likelihood on held out documents: -8.41288 at time 1.25005e+06
Likelihood on held out documents: -8.41339 at time 1.25294e+06
Likelihood on held out documents: -8.41557 at time 1.25585e+06
Likelihood on held out documents: -8.41262 at time 1.25874e+06
Likelihood on held out documents: -8.41555 at time 1.26245e+06
Likelihood on held out documents: -8.41375 at time 1.26535e+06
Likelihood on held out documents: -8.41478 at time 1.26825e+06
Likelihood on held out documents: -8.41318 at time 1.2724e+06
Likelihood on held out documents: -8.41388 at time 1.27554e+06
Likelihood on held out documents: -8.41394 at time 1.27843e+06
Likelihood on held out documents: -8.41396 at time 1.28511e+06
Likelihood on held out documents: -8.41459 at time 1.28801e+06
Likelihood on held out documents: -8.41291 at time 1.2909e+06
Likelihood on held out documents: -8.41511 at time 1.2938e+06
Likelihood on held out documents: -8.41565 at time 1.29671e+06
Likelihood on held out documents: -8.41037 at time 1.3032e+06
Likelihood on held out documents: -8.41348 at time 1.30609e+06
Likelihood on held out documents: -8.41023 at time 1.30899e+06
Likelihood on held out documents: -8.40733 at time 1.31189e+06
Likelihood on held out documents: -8.41179 at time 1.31478e+06
Likelihood on held out documents: -8.41426 at time 1.31768e+06
Likelihood on held out documents: -8.41338 at time 1.32058e+06
Likelihood on held out documents: -8.41406 at time 1.32828e+06
Likelihood on held out documents: -8.41511 at time 1.33233e+06
Likelihood on held out documents: -8.41666 at time 1.33825e+06
Likelihood on held out documents: -8.41763 at time 1.34261e+06
Likelihood on held out documents: -8.41445 at time 1.34638e+06
Likelihood on held out documents: -8.41633 at time 1.35424e+06
Likelihood on held out documents: -8.41693 at time 1.35715e+06
Likelihood on held out documents: -8.41728 at time 1.36921e+06
Likelihood on held out documents: -8.41297 at time 1.39469e+06
Likelihood on held out documents: -8.41662 at time 1.39972e+06
Likelihood on held out documents: -8.41562 at time 1.40498e+06
Likelihood on held out documents: -8.41499 at time 1.40928e+06
Likelihood on held out documents: -8.41768 at time 1.41218e+06
Likelihood on held out documents: -8.41119 at time 1.4176e+06
Likelihood on held out documents: -8.41105 at time 1.4205e+06
Likelihood on held out documents: -8.41047 at time 1.42339e+06
Likelihood on held out documents: -8.41194 at time 1.42629e+06
Likelihood on held out documents: -8.4147 at time 1.42919e+06
Likelihood on held out documents: -8.4146 at time 1.43358e+06
Likelihood on held out documents: -8.41109 at time 1.43657e+06
Likelihood on held out documents: -8.41507 at time 1.43963e+06
Likelihood on held out documents: -8.41614 at time 1.44746e+06
Likelihood on held out documents: -8.41417 at time 1.45037e+06
Likelihood on held out documents: -8.41816 at time 1.45528e+06
Likelihood on held out documents: -8.41436 at time 1.45987e+06
Likelihood on held out documents: -8.41426 at time 1.47286e+06
Likelihood on held out documents: -8.41698 at time 1.47576e+06
